domain,subject,course_title,university,faculty,rating,review_count,registered_students,tags,cost,start_date,session,language,certificate,duration
Computer Science,Machine Learning,Machine Learning,Stanford University,Andrew Ng,340,"
        ",43643,"big data,machine learning,usa,north america,machine learning core",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",11 weeks long
Computer Science,Blockchain and Cryptocurrency,Bitcoin and Cryptocurrency Technologies,Princeton University,Arvind Narayanan,16,"
        ",9811,"cryptography,bitcoin,cryptocurrency,usa,north america",Free Online Course (Audit),2019-03-18,Upcoming,English,,11 weeks long
Computer Science,Machine Learning,Machine Learning: Regression,University of Washington,Carlos Guestrin and Emily Fox,19,"
        ",7660,"python,usa,north america,machine learning core",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Computer Science,Cybersecurity,Cybersecurity Fundamentals,Rochester Institute of Technology,Jonathan Weissman,17,"
        ",9833,"ritx,computer security core",Free Online Course (Audit),2019-03-19,Upcoming,English,"
              $150 Certificate Available
            ",8 weeks long
Personal Development,Career Development,Sales Training: Inbound Business Strategy,HubSpot Academy,Kyle Jepson,0,"
        ",61,"sales,career development",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Computer Science,Machine Learning,Machine Learning: Classification,University of Washington,Carlos Guestrin and Emily Fox,8,"
        ",8273,"python,usa,north america,machine learning core",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",7 weeks long
Data Science,Data Science,Data Science in Real Life,Johns Hopkins University,"Jeff Leek, Brian Caffo and Roger Peng",10,"
        ",275,"data analytics,usa,north america",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",1 weeks long
Health & Medicine,Disease & Disorders,Understanding Dementia,University of Tasmania,Prof Fran McInerney,2792,"
        ",19512,australia,Free Online Course,2019-02-19,In progress,English,"
              Certificate Available
            ",7 weeks long
Business,Accounting,Forensic Accounting and Fraud Examination,West Virginia University,"Richard Riley, Richard Dull and John Gill",9,"
        ",606,"financial accounting,accounting,usa,north america",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Social Sciences,Economics,The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",Peter Navarro,6,"
        ",2051,"usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",13 weeks long
Social Sciences,Anthropology,"The American South: Its Stories, Music, and Art",The University of North Carolina at Chapel Hill,William  Ferris,7,"
        ",624,"america,literature,music,film,usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Business,Accounting,"Managerial Accounting: Cost Behaviors, Systems, and Analysis",University of Illinois at Urbana-Champaign,Gregory Davis,9,"
        ",4570,"usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Social Sciences,Political Science,Terrorism and Counterterrorism: Comparing Theory and Practice,Leiden University,Edwin Bakker,23,"
        ",8751,"international conflics,terrorism,europe,netherlands",Free Online Course (Audit),2019-03-04,In progress,English,"
              Paid Certificate Available
            ",6 weeks long
Computer Science,Computer Science,离散优化建模基础篇 Basic Modeling for Discrete Optimization,The Chinese University of Hong Kong,Jimmy Ho Man Lee and Prof. Peter James Stuckey,0,"
        ",6,"asia,hong kong,australia",Free Online Course (Audit),2019-03-11,Upcoming,Chinese,"
              Paid Certificate Available
            ",4 weeks long
Social Sciences,Law,Understanding the GDPR,University of Groningen,Evgeni Moyakine,28,"
        ",1137,"eu,data protection,regulation",Free Online Course (Audit),2019-02-18,In progress,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Algorithms and Data Structures,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,Tim Roughgarden,1,"
        ",547,"usa,north america,algorithms core",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Data Science,Data Analysis,Data Analytics Foundations for Accountancy I,University of Illinois at Urbana-Champaign,Robert Brunner,1,"
        ",105,"accounting,data analytics",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",8 weeks long
Computer Science,Artificial Intelligence,Probabilistic Graphical Models 2: Inference,Stanford University,Daphne Koller,3,"
        ",584,"usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Mathematics,Calculus,Analytic Combinatorics,Princeton University,Robert Sedgewick,2,"
        ",524,"calculus,advanced calculus,combinatorial mathematics,usa,north america",Free Online Course (Audit),2019-04-01,Upcoming,English,,8 weeks long
Education & Teaching,Teacher Development,Negotiating Learner Differences: Towards Productive Diversity in Learning,University of Illinois at Urbana-Champaign,Dr William Cope,0,"
        ",112,"learning,diversity",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,K12,Children Acquiring Literacy Naturally,"University of California, Santa Cruz",Dominic William Massaro,0,"
        ",339,"usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Course Development,Blended Learning Essentials: Embedding Practice,University of Leeds,Neil Morris and Diana Laurillard,6,"
        ",2535,"blended learning,europe,uk",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Online Education,MOOC: How to make a MOOC?,Novosibirsk State University ,"Anastasia Zulina, Margarita Shirinyan, Stepa Semenov, Yakov Somov, Nikita Kolesov, Katerina Andreevskaya, Anastasia Gribanovskaya, Vladimir Porhunov, Liliya Styazhkina, Olga Echevskaya and Irina Sokolova",0,"
        ",,"teaching,moocs",Free Online Course (Audit),2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Education & Teaching,STEM,Understanding Computer Systems,Raspberry Pi Foundation,Lauren Hyams,0,"
        ",25,"raspberry pi,operating systems,computing",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Social Sciences,Psychology,The Science of Well-Being,Yale University,Laurie Santos,5,"
        ",4305,"psychology,wellness",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",10 weeks long
